epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6268.16,1.36481,1.07988,0.01229,0.86748,0.76856,0.85354,0.58146,1.33007,0.85637,0.01546,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6461.68,1.35606,1.05885,0.012,0.86523,0.77654,0.8572,0.58635,1.32332,0.8485,0.01532,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6652.4,1.36104,1.06799,0.01212,0.87018,0.77666,0.85806,0.58507,1.31698,0.84243,0.01522,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6846.16,1.3518,1.06158,0.01199,0.86751,0.78036,0.85744,0.58595,1.31011,0.83779,0.0151,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7037.04,1.34832,1.0464,0.01199,0.86753,0.78228,0.86014,0.5893,1.30947,0.84226,0.0152,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7229.82,1.34209,1.03358,0.01182,0.87793,0.78252,0.86419,0.59702,1.29098,0.82777,0.01497,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7421.23,1.34453,1.02633,0.01184,0.86847,0.78974,0.86566,0.59767,1.29449,0.81609,0.01486,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7614.11,1.33203,1.01848,0.01185,0.87594,0.78535,0.86616,0.60157,1.28554,0.80164,0.01477,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7804.61,1.32941,1.01577,0.01187,0.87809,0.7918,0.86935,0.60469,1.27998,0.79633,0.01466,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7998.61,1.33398,1.00369,0.01169,0.88558,0.79058,0.87029,0.60599,1.27804,0.79346,0.01464,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8189.64,1.33032,1.00864,0.01185,0.88909,0.791,0.87249,0.60921,1.26982,0.78275,0.01453,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8383.01,1.31773,0.97595,0.01166,0.89584,0.7897,0.874,0.61128,1.26623,0.77846,0.01447,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8573.98,1.30877,0.97806,0.01151,0.88029,0.79804,0.87403,0.61145,1.26759,0.77074,0.01445,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8766.44,1.31367,0.98055,0.01154,0.884,0.79171,0.87352,0.61151,1.25999,0.7798,0.01436,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8959.67,1.30874,0.96536,0.01153,0.87953,0.80152,0.87361,0.61324,1.25649,0.77628,0.01432,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9150.91,1.30056,0.9598,0.01142,0.88447,0.79875,0.87493,0.61521,1.2537,0.76904,0.0143,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9344.19,1.29558,0.95064,0.0113,0.88729,0.79919,0.87528,0.61682,1.24783,0.76473,0.01425,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9534.97,1.29348,0.93915,0.01138,0.88556,0.80359,0.87688,0.61864,1.24726,0.75842,0.01423,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9728.42,1.27898,0.92884,0.01117,0.88926,0.80666,0.8784,0.62008,1.24614,0.75107,0.01424,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9919.21,1.28051,0.9266,0.01125,0.89163,0.80669,0.8793,0.62185,1.24191,0.74706,0.01416,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10112.6,1.27387,0.93654,0.01107,0.88714,0.80869,0.88089,0.62307,1.23704,0.74445,0.01411,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10304.6,1.27648,0.92601,0.0111,0.89392,0.80545,0.88157,0.62442,1.23212,0.7445,0.01405,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10497.5,1.25387,0.9077,0.01088,0.8918,0.80684,0.88228,0.6264,1.22868,0.74431,0.014,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10688.2,1.26678,0.90523,0.01101,0.89117,0.81038,0.88262,0.62802,1.22441,0.74162,0.01393,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10881.5,1.25892,0.90875,0.01113,0.89651,0.80513,0.88383,0.6292,1.22137,0.73722,0.01387,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11072.9,1.2445,0.88956,0.01075,0.89519,0.80896,0.88402,0.63015,1.21745,0.73705,0.01383,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11266.3,1.23819,0.88224,0.01083,0.8931,0.81033,0.88463,0.63081,1.21624,0.73485,0.01381,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
